"","x"
"1",32.4526801287516
"2",33.6547403567098
"3",31.9639275195237
"4",31.8123192825178
"5",32.2276933670112
"6",31.9893618768612
"7",32.1664820131012
"8",31.4053177961933
"9",31.791490560069
"10",33.0667788928016
"11",36.5500439941965
"12",36.7286576621934
"13",32.9813290412205
"14",31.9593085692462
"15",32.3620051398216
"16",34.0745414884195
"17",36.1282049829707
"18",35.8207973465331
"19",34.2290739198999
"20",33.0469228178575
"21",32.0178030821367
"22",32.6861577853453
"23",32.9833175394795
"24",32.8323146027473
"25",31.3268003936286
"26",31.5990864799692
"27",32.7744336817042
"28",31.295681113951
"29",31.6433258062192
"30",31.9309300846498
"31",31.7879501972759
"32",32.1830077224159
"33",32.9461609412948
"34",32.9859212049185
"35",33.7666766107963
"36",33.5410217623202
"37",33.4393760071035
"38",32.3529133843207
"39",31.5272046966723
"40",31.4202565000145
"41",30.9975880756748
"42",31.5959958377943
"43",33.3839790456446
"44",34.1053270116597
"45",33.9481802021774
"46",31.4509369520318
"47",32.217003966823
"48",33.4415262491235
"49",34.1552515375663
"50",34.6889812509228
"51",32.5804654090282
"52",30.043487913778
"53",30.4897256491735
"54",31.889035112944
"55",32.5576802406459
"56",33.2366297663934
"57",34.5169437087088
"58",32.5654003972071
"59",33.9131065087499
"60",36.5196154023587
"61",35.0138896077454
"62",36.1607726535624
"63",36.0005936343864
"64",34.9040044414806
"65",32.7823209293593
"66",32.9679694963251
"67",33.8222450278439
"68",31.4565874265573
"69",31.3553865204326
"70",32.8694363724253
"71",32.8330016841197
"72",32.1527751724079
"73",32.2692184916238
"74",31.7364316381309
"75",31.0973208573986
"76",30.0781930511404
"77",30.9667043957543
"78",32.7107335854211
"79",31.9249172511169
"80",32.5687113684199
"81",34.5668644573429
"82",34.1879167680097
"83",33.7392150887539
"84",31.6576209013762
"85",30.8088796992394
"86",32.7605713375081
"87",32.3974776305174
"88",32.8898838984291
"89",33.3649301587432
"90",33.583733669327
"91",31.939563218302
"92",33.9677330344954
"93",34.9429398560568
"94",32.9494228025475
"95",31.5821982373525
"96",32.9214288625746
"97",32.4660257805925
"98",31.7254564937272
"99",30.2580140369808
"100",30.8666112315369
"101",33.3442814674292
"102",33.7639437879067
"103",32.5511088798124
"104",34.3815209778456
"105",34.9071514272792
"106",30.6824079079338
"107",30.0586974837502
"108",31.7058706859136
"109",32.9185715105107
"110",34.668931433868
"111",34.2345195030429
"112",33.6823913351151
"113",32.3494995471147
"114",31.997950282033
"115",32.4794191012522
"116",31.6778135921445
"117",32.4604405135093
"118",34.0867933932763
"119",34.0989904281344
"120",33.0250051581264
"121",33.033441401781
"122",32.33620046639
"123",33.011308382602
"124",32.1713159853001
"125",30.9829338840098
"126",30.1991499854166
"127",30.4412061033164
"128",31.0293146209471
"129",28.3594743041708
"130",26.8732397604109
"131",28.3952517741461
"132",30.7743057033196
"133",33.4204259225681
"134",32.2362746454356
"135",32.2019196442897
"136",30.889993050776
"137",31.8480377971706
"138",33.7391503516597
"139",32.3840856933275
"140",31.3543342599256
"141",32.9529251345124
"142",32.3292421610509
"143",32.4410271828531
"144",33.381715766761
"145",34.0116670647962
"146",34.3295831873218
"147",35.6042943386419
"148",35.1499233928331
"149",34.2291838903983
"150",33.4480274774536
"151",32.119852693995
"152",31.7020615715839
"153",31.1320736045845
"154",30.81665846625
"155",31.9939162836024
"156",32.4161840159227
"157",32.7575865756046
"158",34.5329056476505
"159",33.6657467399291
"160",31.3440908473242
"161",31.6080672518184
"162",32.4282578381109
"163",33.9475173811152
"164",33.9652962832915
"165",34.1276151735575
"166",32.9519411520845
"167",34.058023402482
"168",33.5623747553806
"169",34.5344877144045
"170",35.0118202298151
"171",32.2379837027667
"172",31.2571558194782
"173",31.8659561158186
"174",32.6882660163388
"175",33.0501306429889
"176",32.5160627908002
"177",32.9642930850929
"178",33.4087991141715
"179",32.4847317225775
"180",30.3959997481483
"181",29.9776480128884
"182",30.7615711389667
"183",31.4707964777635
"184",31.8432264553821
"185",31.4481905269209
"186",32.4544203970857
"187",32.6056743535461
"188",33.9981566035665
"189",35.5251183616948
"190",36.3088527475263
"191",35.5964240472465
"192",33.5545309876931
"193",31.2016646695684
"194",32.2283736188768
"195",33.3744867827861
"196",32.887837119917
"197",32.3591773703244
"198",32.3485365606162
"199",32.2432605508093
"200",31.5939963099924
"201",31.0129713385776
"202",32.1165999874623
"203",32.9040497827896
"204",32.3260449948435
"205",31.6170828416684
"206",32.2205625431571
"207",32.5412601622012
"208",32.1696315763126
"209",31.3734929048585
"210",31.721900180296
"211",30.9056984645772
"212",32.5331228854521
"213",34.8931385576033
"214",34.4923309556417
"215",33.9383626564645
"216",33.4349541413837
"217",31.9615314239561
"218",32.2298613373128
"219",31.3570090889507
"220",31.0280554239509
"221",30.0679433175058
"222",30.1167741852908
"223",30.0391495918849
"224",29.2531140053891
"225",29.0477856766128
"226",29.2405046388369
"227",29.7421899707212
"228",29.3396979812854
"229",31.6333723995032
"230",34.7524695285739
"231",35.122891134896
"232",34.2570662810923
"233",32.4238136067238
"234",30.5781221216202
"235",31.4934643761546
"236",31.6826523844108
"237",33.4233983293644
"238",33.8092723207567
"239",33.0060493682391
"240",33.9509133034666
"241",35.4050895267986
"242",35.3261855722914
"243",33.5125671565104
"244",31.9317754051663
"245",31.4192550344275
"246",34.3082455101862
"247",33.8719188368
"248",31.8960827623734
"249",32.6593350965228
"250",31.2134965703643
"251",29.5656539213065
"252",30.1799160552814
"253",30.0466128993206
"254",30.4867138108077
"255",32.6726628268022
"256",31.233569453643
"257",31.1430874064531
"258",32.5113631570483
"259",34.7207266978088
"260",33.4892706586323
"261",31.5161746375737
"262",31.8654935543706
"263",32.6551389379025
"264",32.5440890256367
"265",31.8402895141576
"266",33.7690435449433
"267",34.0790926903679
"268",33.2485569195109
"269",33.3358334041812
"270",33.9095100817915
"271",34.0975561491838
"272",32.806874605245
"273",30.0543049528224
"274",32.4680442386249
"275",34.0067182305002
"276",34.3428674667834
"277",33.6548341667618
"278",33.3512942183242
"279",33.6280235964627
"280",34.0424148458788
"281",33.3331244580002
"282",33.5864988311078
"283",33.1578620800737
"284",34.8744339056139
"285",34.9719698659762
"286",35.3084001126437
"287",34.5527253199908
"288",33.7622475644373
"289",32.3174886374669
"290",32.255470668179
"291",33.195779794011
"292",34.1882885938604
"293",34.9456550613856
"294",35.2324912292547
"295",34.8082724694538
"296",34.1373469143195
"297",34.4062553523868
"298",32.9408986885833
"299",31.8401777844016
"300",34.0550308148368
"301",35.6849279373891
"302",34.024980063236
"303",31.7900637256711
"304",32.8747627472957
"305",32.0487869118547
"306",32.1101588327138
"307",33.1559502468697
"308",32.225260699504
"309",31.7677906905642
"310",32.2456528953587
"311",34.1201747849894
"312",35.1375384675084
"313",34.313509724313
"314",32.8858699395159
"315",33.6224060680661
"316",33.6578481248167
"317",34.8698743844952
"318",33.834762303278
"319",32.8604163472386
"320",31.2590539966613
"321",31.589602107636
"322",31.6348052903426
"323",31.7168008660882
